epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5903,1.47141,2.19834,1.05546,0.85222,0.18146,0.57458,0.33554,1.35281,2.32089,0.98448,0.000411255,0.000411255,0.000411255
2,49.713,1.35462,1.20174,1.01249,0.7061,0.72077,0.74968,0.44121,1.32859,1.20938,0.98948,0.000819726,0.000819726,0.000819726
3,72.5757,1.32996,1.09327,1.01107,0.68202,0.71192,0.74856,0.45368,1.28803,1.10614,0.99478,0.00121995,0.00121995,0.00121995
4,94.9333,1.29904,1.04136,1.00793,0.77595,0.77393,0.82947,0.51573,1.27002,0.91866,0.98415,0.00121287,0.00121287,0.00121287
5,117.88,1.28371,0.97763,1.00438,0.75521,0.8015,0.83181,0.51962,1.24289,0.86115,0.97682,0.0012005,0.0012005,0.0012005
6,140.539,1.2654,0.93261,0.99737,0.77676,0.82732,0.85792,0.53492,1.26048,0.84236,0.98084,0.00118812,0.00118812,0.00118812
7,163.936,1.25043,0.88925,0.993,0.80407,0.79291,0.84328,0.51441,1.28154,0.8672,0.98855,0.00117575,0.00117575,0.00117575
8,185.77,1.25303,0.88505,0.99265,0.81525,0.79584,0.85928,0.54456,1.2443,0.8409,0.97553,0.00116337,0.00116337,0.00116337
9,208.874,1.24212,0.85144,0.985,0.77871,0.82873,0.86074,0.53319,1.24499,0.83495,0.97752,0.001151,0.001151,0.001151
10,232.146,1.22842,0.82632,0.98289,0.77208,0.81787,0.86714,0.54378,1.25471,0.80747,0.98997,0.00113863,0.00113863,0.00113863
11,254.898,1.21932,0.81477,0.98744,0.80612,0.83204,0.85938,0.53934,1.23246,0.83216,0.98595,0.00112625,0.00112625,0.00112625
12,277.351,1.21327,0.80796,0.97869,0.83664,0.82939,0.88517,0.56943,1.22816,0.75249,0.96951,0.00111388,0.00111388,0.00111388
13,300.29,1.21245,0.80037,0.98091,0.78638,0.83208,0.86758,0.55069,1.2108,0.8024,0.96662,0.0011015,0.0011015,0.0011015
14,323.306,1.19485,0.78277,0.97577,0.84379,0.7954,0.87303,0.56682,1.21543,0.77086,0.97295,0.00108913,0.00108913,0.00108913
15,346.299,1.19794,0.77249,0.9772,0.83715,0.8316,0.88395,0.56708,1.22509,0.75516,0.97214,0.00107675,0.00107675,0.00107675
16,369.282,1.20725,0.7795,0.97395,0.81599,0.79642,0.86904,0.54711,1.2379,0.80791,0.9805,0.00106437,0.00106437,0.00106437
17,392.507,1.18625,0.75616,0.97031,0.83702,0.84787,0.8912,0.57204,1.21619,0.73411,0.9655,0.001052,0.001052,0.001052
